#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54952.743502	-22.532395	0.000451	0.001025	0.002708	6.267846	0.000071	-4.9428	0.0004	-4.9438	14.6587208238	-60.8341347048	1.17
54952.825893	-22.531302	0.000451	0.001025	0.002997	6.268867	0.000073	-4.9436	0.0004	-4.9438	14.6587208238	-60.8341347048	1.45
54953.612566	-22.531947	0.000441	0.001020	0.002291	6.271593	0.000068	-4.9396	0.0004	-4.9433	14.6587201367	-60.8341333182	0.65
54953.717093	-22.532014	0.000441	0.001020	0.002082	6.269488	0.000069	-4.9439	0.0004	-4.9432	14.6587201367	-60.8341333182	1.02
54953.839911	-22.531558	0.000441	0.001020	0.002514	6.270914	0.000077	-4.9456	0.0005	-4.9431	14.6587201367	-60.8341333182	0.63
54954.619239	-22.533198	0.000451	0.001025	0.002297	6.270052	0.000059	-4.9359	0.0003	-4.9426	14.6587193414	-60.8341316738	0.80
54954.731342	-22.531748	0.000451	0.001025	0.002192	6.269776	0.000064	-4.9367	0.0004	-4.9425	14.6587193414	-60.8341316738	1.01
54954.826562	-22.534434	0.000451	0.001025	0.002313	6.266111	0.000057	-4.9358	0.0003	-4.9424	14.6587193414	-60.8341316738	1.14
54955.606218	-22.533998	0.000411	0.001008	0.001849	6.269216	0.000052	-4.9335	0.0003	-4.9419	14.6587185629	-60.8341300237	1.35
54955.744153	-22.532557	0.000463	0.001030	0.002379	6.269788	0.000076	-4.9349	0.0004	-4.9418	14.6587185629	-60.8341300237	1.12
54955.823585	-22.531587	0.000417	0.001010	0.002219	6.269732	0.000058	-4.9343	0.0004	-4.9418	14.6587185629	-60.8341300237	1.17
54956.663619	-22.530520	0.000401	0.001004	0.002310	6.273463	0.000065	-4.9335	0.0004	-4.9413	14.6587177283	-60.8341282074	1.19
54956.747305	-22.529922	0.000401	0.001004	0.002036	6.273471	0.000071	-4.9322	0.0004	-4.9412	14.6587177283	-60.8341282074	1.42
54956.818715	-22.530946	0.000401	0.001004	0.002007	6.273770	0.000068	-4.9336	0.0004	-4.9412	14.6587177283	-60.8341282074	1.24
54988.530159	-22.549934	0.000432	0.001016	0.004003	6.268709	0.000052	-4.9333	0.0003	-4.9310	14.6586934613	-60.8340532817	0.78
54988.601737	-22.549096	0.000543	0.001068	0.003897	6.271557	0.000069	-4.9324	0.0004	-4.9309	14.6586934613	-60.8340532817	0.81
54988.682488	-22.548476	0.000432	0.001016	0.004256	6.268768	0.000051	-4.9323	0.0003	-4.9309	14.6586934613	-60.8340532817	0.82
54989.527868	-22.551260	0.000424	0.001013	0.003677	6.267390	0.000064	-4.9315	0.0004	-4.9308	14.6586927523	-60.8340503826	1.19
54989.702072	-22.548433	0.000424	0.001013	0.003765	6.268165	0.000042	-4.9314	0.0002	-4.9308	14.6586927523	-60.8340503826	0.67
54990.621597	-22.549039	0.000580	0.001088	0.002838	6.275168	0.000099	-4.9306	0.0006	-4.9307	14.6586920258	-60.8340473688	1.05
54990.713347	-22.549610	0.000580	0.001088	0.002616	6.276129	0.000130	-4.9324	0.0008	-4.9307	14.6586920258	-60.8340473688	1.32
54991.588487	-22.550922	0.000424	0.001013	0.002948	6.273537	0.000049	-4.9314	0.0003	-4.9306	14.6586913028	-60.8340443149	0.84
